id,text,aspects,category
986,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","{'term': array(['songs'], dtype=object), 'polarity': array(['neutral'], dtype=object), 'from': array([71], dtype=int16), 'to': array([76], dtype=int16)}","{'category': array(['ambience'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","{'term': array(['toast', 'mayonnaise', 'bacon', 'cheese', 'ingredients', 'plate',
       'omelet'], dtype=object), 'polarity': array(['negative', 'negative', 'negative', 'neutral', 'negative',
       'neutral', 'neutral'], dtype=object), 'from': array([ 41,  18, 126,  73,  57, 170,  86], dtype=int16), 'to': array([ 46,  28, 131,  79,  68, 175,  92], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","{'term': array(['drinks', 'check'], dtype=object), 'polarity': array(['neutral', 'neutral'], dtype=object), 'from': array([82, 32], dtype=int16), 'to': array([88, 37], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['conflict'], dtype=object)}"
2200,The design and atmosphere is just as good.,"{'term': array(['design', 'atmosphere'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([ 4, 15], dtype=int16), 'to': array([10, 25], dtype=int16)}","{'category': array(['ambience'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3195,He has visited Thailand and is quite expert on the cuisine.,"{'term': array(['cuisine'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([51], dtype=int16), 'to': array([58], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3359,The pizza is the best if you like thin crusted pizza.,"{'term': array(['pizza', 'thin crusted pizza'], dtype=object), 'polarity': array(['positive', 'neutral'], dtype=object), 'from': array([ 4, 34], dtype=int16), 'to': array([ 9, 52], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1829,"He can't help, they're bought up so fast.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['ambience'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
2559,Obviously run by folks who know a pie.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
716,We were very disappointed.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous', 'price'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
385,I really liked this place.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1350,I will be going back very soon.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3534,"All the money went into the interior decoration, none of it went to the chefs.","{'term': array(['interior decoration', 'chefs'], dtype=object), 'polarity': array(['positive', 'negative'], dtype=object), 'from': array([28, 72], dtype=int16), 'to': array([47, 77], dtype=int16)}","{'category': array(['ambience', 'food'], dtype=object), 'polarity': array(['positive', 'negative'], dtype=object)}"
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"{'term': array(['seats'], dtype=object), 'polarity': array(['negative'], dtype=object), 'from': array([4], dtype=int16), 'to': array([9], dtype=int16)}","{'category': array(['ambience'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
565,"I asked for seltzer with lime, no ice.","{'term': array(['seltzer with lime'], dtype=object), 'polarity': array(['neutral'], dtype=object), 'from': array([12], dtype=int16), 'to': array([29], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
387,It was pretty inexpensive too.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['price'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1314,Will not be back.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","{'term': array(['pickles', 'selection of meats and seafoods'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([77, 91], dtype=int16), 'to': array([ 84, 122], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2227,My suggestion is to eat family style because you'll want to try the other dishes.,"{'term': array(['dishes', 'eat family style'], dtype=object), 'polarity': array(['neutral', 'positive'], dtype=object), 'from': array([74, 20], dtype=int16), 'to': array([80, 36], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.","{'term': array(['vibe', 'owner', 'service'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object), 'from': array([24, 34, 62], dtype=int16), 'to': array([28, 39, 69], dtype=int16)}","{'category': array(['service', 'ambience'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
1210,This isn't a value joint.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['price'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
2191,Faan's got a great concept but a little rough on the delivery.,"{'term': array(['delivery'], dtype=object), 'polarity': array(['negative'], dtype=object), 'from': array([53], dtype=int16), 'to': array([61], dtype=int16)}","{'category': array(['anecdotes/miscellaneous', 'service'], dtype=object), 'polarity': array(['positive', 'negative'], dtype=object)}"
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","{'term': array(['food', 'atmosphere', 'service'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object), 'from': array([20, 38, 66], dtype=int16), 'to': array([24, 48, 73], dtype=int16)}","{'category': array(['food', 'service', 'ambience'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object)}"
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!","{'term': array(['food', 'prices'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([ 6, 25], dtype=int16), 'to': array([10, 31], dtype=int16)}","{'category': array(['food', 'price'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
500,Look foward to trying the Ruben upon returning.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
388,this little place has a cute interior decor and affordable city prices.,"{'term': array(['interior deco', 'prices'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([29, 64], dtype=int16), 'to': array([42, 70], dtype=int16)}","{'category': array(['ambience', 'price'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
3070,You'll adore it.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3373,Two words: Free wine.,"{'term': array(['wine'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([16], dtype=int16), 'to': array([20], dtype=int16)}","{'category': array(['price'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
425,The price is reasonable although the service is poor.,"{'term': array(['price', 'service'], dtype=object), 'polarity': array(['positive', 'negative'], dtype=object), 'from': array([ 4, 37], dtype=int16), 'to': array([ 9, 44], dtype=int16)}","{'category': array(['service', 'price'], dtype=object), 'polarity': array(['negative', 'positive'], dtype=object)}"
3192,"The quantity is also very good, you will come out satisfied.","{'term': array(['quantity'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([4], dtype=int16), 'to': array([12], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1098,I have been to Roth's twice and both times were very disappointing.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
2173,Worth visiting the 1st Ave spot because it is the original store.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","{'term': array(['sushi', 'sushi bar'], dtype=object), 'polarity': array(['neutral', 'neutral'], dtype=object), 'from': array([118, 146], dtype=int16), 'to': array([123, 155], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
263,"Raga's is a romantic, cozy restaurant.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['ambience'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2384,The fried rice is amazing here.,"{'term': array(['fried rice'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([4], dtype=int16), 'to': array([14], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","{'term': array(['mussels', 'puff pastry goat cheese',
       'salad with a delicious dressing', 'hanger steak au poivre',
       'courses'], dtype=object), 'polarity': array(['positive', 'positive', 'positive', 'positive', 'neutral'],
      dtype=object), 'from': array([ 42,  51,  79, 118,   6], dtype=int16), 'to': array([ 49,  74, 110, 140,  13], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3404,it's a perfect place to have a amanzing indian food.,"{'term': array(['indian food'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([40], dtype=int16), 'to': array([51], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2599,The place is so cool and the service is prompt and curtious.,"{'term': array(['service', 'place'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([29,  4], dtype=int16), 'to': array([36,  9], dtype=int16)}","{'category': array(['service', 'ambience'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"{'term': array(['broth with noodles'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([35], dtype=int16), 'to': array([53], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
648,I just wonder how you can have such a delicious meal for such little money.,"{'term': array(['meal', 'money'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([48, 69], dtype=int16), 'to': array([52, 74], dtype=int16)}","{'category': array(['price', 'food'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
863,The food was delicious but do not come here on a empty stomach.,"{'term': array(['food'], dtype=object), 'polarity': array(['conflict'], dtype=object), 'from': array([4], dtype=int16), 'to': array([8], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['conflict'], dtype=object)}"
1623,The wine list is excellent.,"{'term': array(['wine list'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([4], dtype=int16), 'to': array([13], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2177,so garantuan that you can't fit them in a toaster.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","{'term': array(['Thai food'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([84], dtype=int16), 'to': array([93], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1101,They wouldnt even let me finish my glass of wine before offering another.,"{'term': array(['glass of wine'], dtype=object), 'polarity': array(['neutral'], dtype=object), 'from': array([35], dtype=int16), 'to': array([48], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1823,I highly recommend the Sophia pizza.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","{'term': array(['specials'], dtype=object), 'polarity': array(['neutral'], dtype=object), 'from': array([75], dtype=int16), 'to': array([83], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
2783,This is a consistently great place to dine for lunch or dinner.,"{'term': array(['lunch', 'dinner', 'dine'], dtype=object), 'polarity': array(['neutral', 'neutral', 'positive'], dtype=object), 'from': array([47, 56, 38], dtype=int16), 'to': array([52, 62, 42], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2983,"Nice atmosphere, the service was very pleasant and the desert was good.","{'term': array(['atmosphere', 'service', 'desert'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object), 'from': array([ 5, 21, 55], dtype=int16), 'to': array([15, 28, 61], dtype=int16)}","{'category': array(['food', 'service', 'ambience'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object)}"
66,All the people that I bring there go back on their own and bring THEIR friends!,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"{'term': array(['bar', 'table', 'dinner'], dtype=object), 'polarity': array(['positive', 'neutral', 'neutral'], dtype=object), 'from': array([39, 60, 74], dtype=int16), 'to': array([42, 65, 80], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","{'term': array(['service', 'food', 'atmosphere', 'environment'], dtype=object), 'polarity': array(['positive', 'positive', 'positive', 'positive'], dtype=object), 'from': array([ 9, 28, 52, 67], dtype=int16), 'to': array([16, 32, 62, 78], dtype=int16)}","{'category': array(['food', 'service', 'ambience'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object)}"
2934,Not what I wanted to hear.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
2787,Try the lasagnette appetizer.,"{'term': array(['lasagnette appetizer'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([8], dtype=int16), 'to': array([28], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
825,"Pricey, but worth a try, at least once.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['price', 'anecdotes/miscellaneous'], dtype=object), 'polarity': array(['negative', 'positive'], dtype=object)}"
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
604,I liked the beer selection!,"{'term': array(['beer selection'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([12], dtype=int16), 'to': array([26], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2911,"Great food, good size menu, great service and an unpretensious setting.","{'term': array(['food', 'menu', 'service', 'setting'], dtype=object), 'polarity': array(['positive', 'positive', 'positive', 'positive'], dtype=object), 'from': array([ 6, 22, 34, 63], dtype=int16), 'to': array([10, 26, 41, 70], dtype=int16)}","{'category': array(['food', 'service', 'ambience'], dtype=object), 'polarity': array(['positive', 'positive', 'positive'], dtype=object)}"
3074,Go here for a romantic dinner but not for an all out wow dining experience.,"{'term': array(['dinner', 'dining'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([23, 57], dtype=int16), 'to': array([29, 63], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['conflict'], dtype=object)}"
1479,Can't wait to go back.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"{'term': array(['Dosa'], dtype=object), 'polarity': array(['neutral'], dtype=object), 'from': array([17], dtype=int16), 'to': array([21], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"{'term': array(['Wine list selection', 'wine-by-the-glass'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([ 0, 32], dtype=int16), 'to': array([19, 49], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
728,"With the great variety on the menu , I eat here often and never get bored .","{'term': array(['menu'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([30], dtype=int16), 'to': array([34], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2925,The menu is very limited - i think we counted 4 or 5 entrees.,"{'term': array(['menu', 'entrees'], dtype=object), 'polarity': array(['negative', 'negative'], dtype=object), 'from': array([ 4, 53], dtype=int16), 'to': array([ 8, 60], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3436,The menu is limited but almost all of the dishes are excellent.,"{'term': array(['menu', 'dishes'], dtype=object), 'polarity': array(['negative', 'positive'], dtype=object), 'from': array([ 4, 42], dtype=int16), 'to': array([ 8, 48], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['conflict'], dtype=object)}"
3273,Not too crazy about their sake martini.,"{'term': array(['sake martini'], dtype=object), 'polarity': array(['negative'], dtype=object), 'from': array([26], dtype=int16), 'to': array([38], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
1215,"Great bagels, spreads and a good place to hang out in.","{'term': array(['bagels', 'spreads'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([ 6, 14], dtype=int16), 'to': array([12, 21], dtype=int16)}","{'category': array(['food', 'anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.","{'term': array(['service'], dtype=object), 'polarity': array(['conflict'], dtype=object), 'from': array([4], dtype=int16), 'to': array([11], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['conflict'], dtype=object)}"
2511,"whoever the jazz duo was, they were on POINT.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['ambience'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"{'term': array(['table'], dtype=object), 'polarity': array(['neutral'], dtype=object), 'from': array([90], dtype=int16), 'to': array([95], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1562,This place is a great bargain.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['price'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
1712,We happened upon this place purely by accident and were pleased with the results.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","{'term': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([19], dtype=int16), 'to': array([23], dtype=int16)}","{'category': array(['food', 'anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive', 'negative'], dtype=object)}"
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
3207,We always have a delicious meal and always leave feeling satisfied.,"{'term': array(['meal'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([27], dtype=int16), 'to': array([31], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","{'term': array(['ingredients', 'chopsticks'], dtype=object), 'polarity': array(['neutral', 'neutral'], dtype=object), 'from': array([ 8, 33], dtype=int16), 'to': array([19, 43], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['neutral'], dtype=object)}"
